"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0 0 0 0 0 0 0 0
"2" 0 0 0 0 0 0 0 0
"3" 0 0 0 0 0 0 0 0
"4" 0 0 0 0 0 0 0 0
"5" 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0
"17" 0 0 0 0 0 0 0 0
"18" 0 0 0 0 0 0 0 0
"19" 0 0 0 0 0 0 0 0
"20" 0 0 0 0 0 0 0 0
"21" 0 0 0 0 0 0 0 0
"22" 0 0 0 0 0 0 0 0
"23" 0 0 0 0 0 0 0 0
"24" 0 0 0 0 0 0 0 0
"25" 0 0 0 0 0 0 0 0
"26" 0.666666666666667 0 0 0 0.666666666666667 0 0 0
"27" 2.33333333333333 0 0 0 2.33333333333333 0 0 0
"28" 2.66666666666667 0 0 0 2.66666666666667 0 0 0
"29" 3 0 0 0 3 0 0 0
"30" 3 0 0 0 3 0 0 0
"31" 3 0 0 0 3 0 0 0
"32" 4 0 0 0 4 0 0 0
"33" 4.33333333333333 0 0 0 4.33333333333333 0 0 0
"34" 5 0 0 0 5 0 0 0
"35" 5 0 0 0 5 0 0 0
"36" 6 0 0 0 6 0 0 0
"37" 7 0 0 0.333333333333333 7 0 0 0.333333333333333
"38" 8 0.333333333333333 0 0.333333333333333 8 0.333333333333333 0 0.333333333333333
"39" 10.6666666666667 0.333333333333333 0.333333333333333 1 10.6666666666667 0.333333333333333 0.333333333333333 1
"40" 12 1 2.33333333333333 1.33333333333333 12 1 2.66666666666667 1.33333333333333
"41" 12.6666666666667 3 5.66666666666667 2.33333333333333 12.6666666666667 3 6 2.33333333333333
"42" 13 3.33333333333333 7 3 13 3.33333333333333 7.33333333333333 3
"43" 14 3.33333333333333 10.3333333333333 4 14 3.33333333333333 11 4.33333333333333
"44" 15 4.66666666666667 12 5 15.3333333333333 5.33333333333333 12.6666666666667 5.33333333333333
