"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 19 19.6666666666667 19.6666666666667 18.6666666666667 170.666666666667 356.333333333333 356.333333333333 173.666666666667
"2" 19 19.6666666666667 19.6666666666667 18.3333333333333 168.333333333333 349 349 172
"3" 19 19.6666666666667 19.6666666666667 18.3333333333333 165 342.333333333333 342.333333333333 169.666666666667
"4" 19 19.6666666666667 19.6666666666667 18 162 337.666666666667 337.666666666667 166.333333333333
"5" 19 19.6666666666667 19.6666666666667 17.6666666666667 159.333333333333 332.666666666667 332.666666666667 164.333333333333
"6" 19 19.6666666666667 19.6666666666667 17.6666666666667 155 330 330 162.666666666667
"7" 19 19.6666666666667 19.6666666666667 17.6666666666667 152 324.333333333333 324.333333333333 161.333333333333
"8" 19 19.6666666666667 19.6666666666667 17.6666666666667 150 317.333333333333 317.333333333333 160
"9" 19 19.6666666666667 19.6666666666667 17.6666666666667 147.333333333333 312.666666666667 312.666666666667 158.666666666667
"10" 19 19.6666666666667 19.6666666666667 17.6666666666667 143.666666666667 307 307 156
"11" 19 19.6666666666667 19.6666666666667 17.6666666666667 140.666666666667 302 302 153.333333333333
"12" 19 19.6666666666667 19.6666666666667 17.6666666666667 138 294.333333333333 294.333333333333 149.666666666667
"13" 19 19.6666666666667 19.6666666666667 17.6666666666667 132.333333333333 286 286 146
"14" 19 19.6666666666667 19.6666666666667 18 128.666666666667 277.333333333333 277.333333333333 144.333333333333
"15" 19 19.6666666666667 19.6666666666667 18 126 271 271 139.333333333333
"16" 19 19.6666666666667 19.6666666666667 18 119.333333333333 258.666666666667 258.666666666667 136.666666666667
"17" 19 19.6666666666667 19.6666666666667 18 115.333333333333 251.666666666667 251.666666666667 133.333333333333
"18" 19 19.6666666666667 19.6666666666667 18 111.666666666667 241 241 130.666666666667
"19" 19 20 20 18 109 232.666666666667 232.666666666667 127.666666666667
"20" 19 20 20 18 101 220.666666666667 220.666666666667 123.333333333333
"21" 19 20 20 18.3333333333333 95.6666666666667 213.333333333333 213.333333333333 122.333333333333
"22" 19 20 20 18.3333333333333 92 206 206 117.333333333333
"23" 19 20 20 18.6666666666667 87.3333333333333 201.333333333333 201.333333333333 115
"24" 19 20 20 18.6666666666667 84.3333333333333 192.333333333333 192.333333333333 112.666666666667
"25" 19 20 20 18.6666666666667 82 179.666666666667 179.666666666667 109
"26" 19 20 20 19 77.3333333333333 173.666666666667 173.666666666667 106
"27" 19 20 20 19 73.6666666666667 164.333333333333 164.333333333333 99.3333333333333
"28" 19 20 20 19 69.3333333333333 156 156 96
"29" 19 20 20 18.6666666666667 70 149 149 92.6666666666667
"30" 19 20 20 18.6666666666667 65 138 138 89
"31" 19 20 20 18.6666666666667 61.6666666666667 129.333333333333 129.333333333333 83
"32" 19 20 20 18.6666666666667 60.3333333333333 122.333333333333 122.333333333333 76.6666666666667
"33" 19 20 20 18.3333333333333 60 117 117 72
"34" 19 20 20 18.3333333333333 58 112.666666666667 112.666666666667 67
"35" 19 20 20 18.3333333333333 58 108.666666666667 108.666666666667 64
"36" 19 20 20 18.3333333333333 54.6666666666667 104.333333333333 104.333333333333 60.3333333333333
"37" 19 20 20 18.3333333333333 53.6666666666667 101.333333333333 101.333333333333 54.3333333333333
"38" 19 20 20 18.3333333333333 52.3333333333333 99 99 51.3333333333333
"39" 19 20 20 18 51.6666666666667 94.6666666666667 94.6666666666667 49
"40" 19 20 20 17.6666666666667 50.6666666666667 90.3333333333333 90.3333333333333 45
"41" 19 20 20 17.3333333333333 51 89.3333333333333 89.3333333333333 42.6666666666667
"42" 19 20 20 16.6666666666667 50.6666666666667 86.3333333333333 86.3333333333333 40
"43" 19 20 20 16.3333333333333 51 84 84 37.3333333333333
"44" 19 20 20 16 50.6666666666667 82.6666666666667 82.6666666666667 36
"45" 19 20 20 15.6666666666667 52 81.6666666666667 81.6666666666667 34.3333333333333
"46" 19 20 20 15 51.3333333333333 80.6666666666667 80.6666666666667 31.3333333333333
"47" 19 20 20 14.3333333333333 52 81 81 30
"48" 19 20 20 13.3333333333333 53 78.3333333333333 78.3333333333333 28
"49" 19 20 20 13.3333333333333 54 77.3333333333333 77.3333333333333 27
"50" 19 20 20 12.6666666666667 54.3333333333333 75.3333333333333 75.3333333333333 26.3333333333333
"51" 19 19.6666666666667 19.6666666666667 11.6666666666667 54 75.6666666666667 75.6666666666667 25
