"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 19 20 20 19 151.333333333333 349.333333333333 349.333333333333 175.333333333333
"2" 19 20 20 19 148 341.666666666667 341.666666666667 174.666666666667
"3" 19 20 20 19 143.666666666667 339.333333333333 339.333333333333 174.333333333333
"4" 19 20 20 19 140 332.666666666667 332.666666666667 173.666666666667
"5" 19 20 20 19 136.333333333333 328.666666666667 328.666666666667 173.333333333333
"6" 19 20 20 19 132.333333333333 320.333333333333 320.333333333333 172
"7" 19 19.6666666666667 19.6666666666667 19 127.333333333333 315.333333333333 315.333333333333 169
"8" 19 19.6666666666667 19.6666666666667 19 123 309 309 167.333333333333
"9" 19 19.6666666666667 19.6666666666667 19 113.666666666667 296.333333333333 296.333333333333 163.666666666667
"10" 19 19.6666666666667 19.6666666666667 18.6666666666667 108.666666666667 288 288 160.333333333333
"11" 19 19.6666666666667 19.6666666666667 18.6666666666667 106 281.333333333333 281.333333333333 156.666666666667
"12" 19 19.6666666666667 19.6666666666667 18.3333333333333 101 271 271 154
"13" 19 19.6666666666667 19.6666666666667 18 97 263 263 150.333333333333
"14" 19 19.6666666666667 19.6666666666667 18 93.3333333333333 252 252 146.666666666667
"15" 19 19.6666666666667 19.6666666666667 18 90.3333333333333 243.333333333333 243.333333333333 144
"16" 19 19.6666666666667 19.6666666666667 17.6666666666667 86.3333333333333 232 232 140
"17" 19 19.6666666666667 19.6666666666667 17.6666666666667 84.6666666666667 221.666666666667 221.666666666667 137
"18" 19 19.6666666666667 19.6666666666667 17.6666666666667 81 205.333333333333 205.333333333333 133
"19" 19 19.6666666666667 19.6666666666667 17.6666666666667 78 195.333333333333 195.333333333333 129
"20" 19 19.6666666666667 19.6666666666667 17.6666666666667 74 184 184 126
"21" 19 19.6666666666667 19.6666666666667 17.6666666666667 71 175 175 121
"22" 19 19.6666666666667 19.6666666666667 17.6666666666667 67.3333333333333 164.666666666667 164.666666666667 116.333333333333
"23" 19 19.6666666666667 19.6666666666667 17.6666666666667 67.3333333333333 158 158 113
"24" 19 19.6666666666667 19.6666666666667 17.6666666666667 64.6666666666667 152.333333333333 152.333333333333 109.333333333333
"25" 19 19.6666666666667 19.6666666666667 17.6666666666667 62.6666666666667 142 142 106.333333333333
"26" 19 19.6666666666667 19.6666666666667 17.6666666666667 61.6666666666667 135 135 99
"27" 19 19.6666666666667 19.6666666666667 17.3333333333333 60.6666666666667 128 128 92.6666666666667
"28" 19 19.6666666666667 19.6666666666667 17 58.6666666666667 119 119 87.6666666666667
"29" 19 19.6666666666667 19.6666666666667 17 57.3333333333333 114.333333333333 114.333333333333 80.6666666666667
"30" 19 19.6666666666667 19.6666666666667 16.6666666666667 56.6666666666667 109.333333333333 109.333333333333 75.3333333333333
"31" 19 19.6666666666667 19.6666666666667 16.6666666666667 57.6666666666667 105.666666666667 105.666666666667 73.6666666666667
"32" 19 19.6666666666667 19.6666666666667 15.6666666666667 57 101.666666666667 101.666666666667 67.3333333333333
"33" 19 20 20 16 55.3333333333333 97.6666666666667 97.6666666666667 62.6666666666667
"34" 19 20 20 16 56.6666666666667 91.3333333333333 91.3333333333333 58.3333333333333
"35" 19 20 20 15 56.6666666666667 87.3333333333333 87.3333333333333 55.3333333333333
