"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0 0 0 0 0 0 0 0
"2" 0 0 0 0 0 0 0 0
"3" 0 0 0 0 0 0 0 0
"4" 0 0 0 0 0 0 0 0
"5" 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0
"17" 0 0 0 0 0 0 0 0
"18" 0 0 0 0 0 0 0 0
"19" 0 0 0 0 0 0 0 0
"20" 0 0 0 0 0 0 0 0
"21" 0 0 0 0 0 0 0 0
"22" 0 0 0 0 0 0 0 0
"23" 0 0 0 0 0 0 0 0
"24" 0 0 0 0 0 0 0 0
"25" 0 0 0 0 0 0 0 0
"26" 0.333333333333333 0 0 0 0.333333333333333 0 0 0
"27" 1.33333333333333 0 0 0 1.33333333333333 0 0 0
"28" 3.33333333333333 0 0 0 3.66666666666667 0 0 0
"29" 6.66666666666667 0 0 0 7 0 0 0
"30" 10.3333333333333 0 0 0 11 0 0 0
"31" 12 0 0 0 12.6666666666667 0 0 0
"32" 13 0 0 0 13.6666666666667 0 0 0
"33" 14.3333333333333 0 0 0.333333333333333 15 0 0 0.333333333333333
"34" 15.3333333333333 0 0 5 16 0 0 5
"35" 15.6666666666667 0 0 15.3333333333333 16.6666666666667 0 0 15.3333333333333
"36" 16.3333333333333 0 0 20 18.3333333333333 0 0 20
"37" 17.3333333333333 0.666666666666667 0.666666666666667 24 21 0.666666666666667 0.666666666666667 24
"38" 17.3333333333333 1.33333333333333 1.33333333333333 26.6666666666667 23.6666666666667 1.66666666666667 1.66666666666667 26.6666666666667
"39" 18.3333333333333 1.33333333333333 1.33333333333333 28 30.6666666666667 2.33333333333333 2.33333333333333 28
"40" 18.6666666666667 3 3 29 36.3333333333333 4 4 29.3333333333333
"41" 19 5 5 31 44 6 6 31.3333333333333
"42" 19 5.33333333333333 5.33333333333333 32.6666666666667 51.3333333333333 6.66666666666667 6.66666666666667 33
"43" 19 5.33333333333333 5.33333333333333 33.3333333333333 60.6666666666667 6.66666666666667 6.66666666666667 33.6666666666667
"44" 19.3333333333333 5.33333333333333 5.33333333333333 34.6666666666667 71 7.33333333333333 7.33333333333333 35.3333333333333
"45" 19.6666666666667 6.33333333333333 6.33333333333333 35.6666666666667 85 9 9 37.3333333333333
"46" 19.6666666666667 7 7 36 95.6666666666667 10.3333333333333 10.3333333333333 38.3333333333333
"47" 19.6666666666667 8 8 37.6666666666667 113.333333333333 12 12 40.6666666666667
"48" 19.6666666666667 8.66666666666667 8.66666666666667 38.3333333333333 127.333333333333 14.3333333333333 14.3333333333333 42.3333333333333
"49" 19.6666666666667 11 11 38.3333333333333 141 17 17 42.6666666666667
"50" 19.6666666666667 12 12 38.3333333333333 160.333333333333 19.6666666666667 19.6666666666667 44.3333333333333
"51" 19.6666666666667 13 13 38.6666666666667 180.666666666667 21.6666666666667 21.6666666666667 46.6666666666667
"52" 20 15.6666666666667 15.6666666666667 38.6666666666667 205 26.3333333333333 26.3333333333333 51.6666666666667
"53" 20 18 18 39 226.666666666667 34.3333333333333 34.3333333333333 57
"54" 20 20.6666666666667 20.6666666666667 39 249 45.3333333333333 45.3333333333333 63.3333333333333
"55" 20 23.6666666666667 23.6666666666667 39 267.666666666667 60.3333333333333 60.3333333333333 71
"56" 20 26.3333333333333 26.3333333333333 39 289.666666666667 75 75 79.3333333333333
"57" 20 27 27 39 310.666666666667 92 92 92
"58" 20 28.6666666666667 28.6666666666667 39 330 115.666666666667 115.666666666667 107.333333333333
"59" 20 29.6666666666667 29.6666666666667 39 356.333333333333 142.333333333333 142.333333333333 121.666666666667
"60" 20 31 31 39 378 172 172 143.333333333333
"61" 20.3333333333333 33 33 39 395 206.333333333333 206.333333333333 169
"62" 20.6666666666667 34.3333333333333 34.3333333333333 39 415.333333333333 238.666666666667 238.666666666667 186
"63" 21.3333333333333 35.3333333333333 35.3333333333333 39 440.666666666667 276 276 207.333333333333
"64" 23 36 36 39 466.333333333333 316.666666666667 316.666666666667 231.333333333333
"65" 23.6666666666667 36 36 39 490 361.666666666667 361.666666666667 250.666666666667
"66" 23.6666666666667 36 36 39 510.333333333333 395.333333333333 395.333333333333 272.333333333333
"67" 24.6666666666667 36.3333333333333 36.3333333333333 39 534 436.333333333333 436.333333333333 293
"68" 26 36.3333333333333 36.3333333333333 39 557.666666666667 482.333333333333 482.333333333333 318.333333333333
"69" 26.6666666666667 36.6666666666667 36.6666666666667 39 578.333333333333 521.666666666667 521.666666666667 343.666666666667
"70" 28 36.6666666666667 36.6666666666667 39 598.333333333333 560.666666666667 560.666666666667 365.333333333333
"71" 28 36.3333333333333 36.3333333333333 39 615.666666666667 594 594 379
"72" 28.3333333333333 36.6666666666667 36.6666666666667 39 631.666666666667 624.666666666667 624.666666666667 399
"73" 29.3333333333333 36.6666666666667 36.6666666666667 39 644 655 655 415.666666666667
"74" 30 37 37 39 654.333333333333 686.333333333333 686.333333333333 434
"75" 30 36.3333333333333 36.3333333333333 39 660 707 707 456.333333333333
"76" 30.3333333333333 36.3333333333333 36.3333333333333 39 672.333333333333 728 728 469.333333333333
